,year,month,intent,police,sex,age,race,hispanic,place,education,0
67258,2014,5,Suicide,0,M,19,Native American/Native Alaskan,100,Home,Some college,
67259,2014,6,Suicide,0,M,22,Hispanic,210,Home,Less than HS,
67260,2014,6,Suicide,0,M,36,White,100,Home,Some college,
67261,2014,6,Suicide,0,M,28,Native American/Native Alaskan,100,Home,HS/GED,
67262,2014,6,Suicide,0,M,44,White,100,Other specified,HS/GED,
67263,2014,6,Suicide,0,M,86,White,100,Home,Less than HS,
67264,2014,6,Suicide,0,M,29,Black,100,Home,HS/GED,
67265,2014,6,Suicide,0,M,61,Native American/Native Alaskan,100,Home,HS/GED,
67266,2014,6,Suicide,0,M,21,Native American/Native Alaskan,100,Home,HS/GED,
67267,2014,6,Suicide,0,F,64,White,100,Home,HS/GED,
67268,2014,6,Homicide,0,F,20,White,100,Home,HS/GED,
67269,2014,7,Suicide,0,F,64,White,100,Home,BA+,
67270,2014,2,Homicide,0,F,29,White,100,Other unspecified,HS/GED,
67271,2014,4,Homicide,0,F,15,Hispanic,260,Home,Less than HS,
67272,2014,7,Suicide,0,M,18,Native American/Native Alaskan,100,Home,HS/GED,
67273,2014,7,Suicide,0,M,30,Hispanic,210,Home,HS/GED,
67274,2014,7,Suicide,0,M,28,Native American/Native Alaskan,100,Home,HS/GED,
67275,2014,6,Undetermined,0,M,66,White,100,Other specified,BA+,
67276,2014,7,Suicide,0,M,76,White,100,Home,HS/GED,
67277,2014,7,Suicide,0,M,26,White,100,Other specified,HS/GED,
67278,2014,7,Undetermined,0,M,65,White,100,Other specified,HS/GED,
67279,2014,7,Suicide,0,M,25,White,100,Other specified,HS/GED,
67280,2014,7,Suicide,0,M,24,White,100,Home,HS/GED,
67281,2014,8,Suicide,0,M,63,White,100,Other specified,Some college,
67282,2014,7,Suicide,0,M,31,Black,100,Other unspecified,Some college,
67283,2014,7,Suicide,0,M,57,Native American/Native Alaskan,100,Home,Less than HS,
67284,2014,7,Suicide,0,M,53,Asian/Pacific Islander,100,Home,HS/GED,
67285,2014,8,Suicide,0,M,31,Native American/Native Alaskan,100,Other specified,Less than HS,
67286,2014,8,Suicide,0,M,26,White,100,Home,HS/GED,
67287,2014,8,Homicide,0,M,63,Asian/Pacific Islander,100,Home,BA+,
67288,2014,8,Suicide,0,M,18,Native American/Native Alaskan,100,Home,HS/GED,
67289,2014,8,Suicide,0,M,17,Native American/Native Alaskan,100,Home,Less than HS,
67290,2014,8,Suicide,0,M,54,White,100,Home,HS/GED,
67291,2014,8,Suicide,0,M,42,White,100,Home,NA,
67292,2014,8,Suicide,0,M,40,White,100,Home,HS/GED,
67293,2014,8,Suicide,0,M,26,Hispanic,260,Home,Less than HS,
67294,2014,8,Suicide,0,M,65,White,100,Other unspecified,BA+,
67295,2014,8,Suicide,0,F,48,White,100,Home,HS/GED,
67296,2014,8,Suicide,0,M,44,Native American/Native Alaskan,100,Home,HS/GED,
67297,2014,9,Suicide,0,M,62,White,100,Home,Some college,
67298,2014,7,Suicide,0,M,22,Black,100,Home,HS/GED,
67299,2014,9,Homicide,0,M,23,White,100,Home,HS/GED,
67300,2014,9,Suicide,0,M,78,White,100,Home,BA+,
67301,2014,9,Suicide,0,F,21,Native American/Native Alaskan,100,Home,Some college,
67302,2014,9,Accidental,0,M,59,White,100,Home,BA+,
67303,2014,9,Suicide,0,M,51,White,100,Other specified,Some college,
67304,2014,9,Suicide,0,M,32,White,100,Home,HS/GED,
67305,2014,9,Suicide,0,M,19,Hispanic,210,Street,Some college,
67306,2014,9,Suicide,0,M,56,White,100,Home,Less than HS,
67307,2014,10,Suicide,0,M,26,Native American/Native Alaskan,100,Home,HS/GED,
67308,2014,10,Homicide,0,M,36,Native American/Native Alaskan,100,Other specified,HS/GED,
67309,2014,10,Homicide,0,F,25,White,100,Home,Some college,
67310,2014,10,Suicide,0,M,24,White,100,Home,HS/GED,
67311,2014,9,Suicide,0,F,39,White,100,Home,Some college,
67312,2014,10,Homicide,0,M,64,Black,100,Home,Some college,
67313,2014,10,Suicide,0,M,33,White,100,Home,Less than HS,
67314,2014,10,Homicide,0,F,47,White,100,Home,HS/GED,
67315,2014,10,Suicide,0,M,71,White,100,Other specified,BA+,
67316,2014,10,Suicide,0,M,16,White,100,Home,Less than HS,
67317,2014,9,Suicide,0,F,35,White,100,Home,HS/GED,
67318,2014,10,Suicide,0,F,50,White,100,Other specified,HS/GED,
67319,2014,10,Suicide,0,M,21,White,100,Home,Some college,
67320,2014,10,Suicide,0,M,19,White,100,Home,HS/GED,
67321,2014,10,Suicide,0,M,74,White,100,Home,Less than HS,
67322,2014,10,Suicide,0,M,60,White,100,Home,HS/GED,
67323,2014,10,Suicide,0,M,83,White,100,Home,HS/GED,
67324,2014,11,Suicide,0,M,53,White,100,Other specified,BA+,
67325,2014,11,Suicide,0,M,24,White,100,Home,Some college,
67326,2014,10,Suicide,0,M,28,Native American/Native Alaskan,100,Other specified,Some college,
67327,2014,10,Suicide,0,F,30,White,100,Trade/service area,Some college,
67328,2014,11,Suicide,0,M,29,White,100,Home,HS/GED,
67329,2014,11,Homicide,0,F,28,White,100,Other specified,HS/GED,
67330,2014,11,Suicide,0,M,30,White,100,Home,HS/GED,
67331,2014,11,Suicide,0,M,42,White,100,Home,Some college,
67332,2014,11,Suicide,0,M,49,White,100,Home,HS/GED,
67333,2014,12,Suicide,0,M,30,White,100,Home,HS/GED,
67334,2014,12,Suicide,0,M,29,Native American/Native Alaskan,100,Trade/service area,Some college,
67335,2014,12,Suicide,0,M,48,White,100,Other specified,Some college,
67336,2014,12,Homicide,0,M,48,White,100,Home,BA+,
67337,2014,12,Suicide,0,M,26,Native American/Native Alaskan,100,Home,HS/GED,
67338,2014,12,Homicide,0,M,24,White,100,Home,NA,
67339,2014,12,Suicide,0,M,31,White,100,Home,HS/GED,
67340,2014,12,Homicide,0,F,33,Native American/Native Alaskan,100,Home,HS/GED,
67341,2014,12,Suicide,0,M,63,White,100,Home,Less than HS,
67342,2014,12,Suicide,0,M,46,White,100,Other specified,HS/GED,
67343,2014,12,Undetermined,0,M,55,White,100,Home,HS/GED,
67344,2014,12,Suicide,0,F,51,White,100,Home,Some college,
67345,2014,12,Suicide,0,M,39,White,100,Home,HS/GED,
67346,2014,12,Suicide,0,M,65,White,100,Home,HS/GED,
67347,2014,1,Homicide,0,F,18,White,100,Home,HS/GED,
67348,2014,1,Homicide,0,M,37,White,100,Home,Less than HS,
67349,2014,1,Homicide,0,M,32,White,100,Home,Less than HS,
67350,2014,1,Homicide,0,F,45,White,100,Home,HS/GED,
67351,2014,1,Homicide,0,F,35,Black,100,Home,HS/GED,
67352,2014,1,Homicide,0,F,21,Black,100,Street,Some college,
67353,2014,1,Suicide,0,M,64,White,100,Other specified,BA+,
67354,2014,1,Homicide,0,M,20,Black,100,School/instiution,HS/GED,
67355,2014,1,Suicide,0,M,75,White,100,Home,Less than HS,
67356,2014,1,Suicide,0,M,21,White,100,Other unspecified,Some college,
67357,2014,1,Suicide,0,F,50,Black,100,Home,Some college,
67358,2014,1,Homicide,0,M,30,Black,100,Home,HS/GED,
67359,2014,1,Homicide,0,M,22,Black,100,Street,Less than HS,
67360,2014,1,Homicide,0,M,61,Black,100,Home,HS/GED,
67361,2014,1,Accidental,0,M,36,White,100,Other specified,Less than HS,
67362,2014,1,Suicide,0,M,30,White,100,Home,Less than HS,
67363,2014,1,Suicide,0,M,63,White,100,Home,HS/GED,
67364,2014,1,Suicide,0,M,52,White,100,Other specified,Less than HS,
67365,2014,1,Suicide,0,M,63,White,100,Home,BA+,
67366,2014,1,Homicide,0,M,50,White,100,Other specified,Some college,
67367,2014,1,Homicide,0,M,35,White,100,Home,Less than HS,
67368,2014,1,Homicide,0,M,54,Black,100,Other unspecified,Less than HS,
67369,2014,1,Suicide,0,F,35,White,100,Home,HS/GED,
67370,2014,1,Homicide,0,M,17,Black,100,Home,Less than HS,
67371,2014,1,Homicide,0,M,36,Black,100,Home,Some college,
67372,2014,1,Suicide,0,M,34,White,100,Home,HS/GED,
67373,2014,1,Suicide,0,M,23,White,100,Other specified,Some college,
67374,2014,1,Suicide,0,M,22,White,100,Home,BA+,
67375,2014,1,Homicide,0,M,62,Black,100,Other specified,Some college,
67376,2014,1,Homicide,0,M,35,Black,100,Trade/service area,HS/GED,
67377,2014,1,Homicide,0,M,37,White,100,Trade/service area,BA+,
67378,2014,1,Suicide,0,M,30,White,100,Home,Less than HS,
67379,2014,1,Suicide,0,F,31,White,100,Home,Some college,
67380,2014,1,Suicide,0,M,55,White,100,Home,Less than HS,
67381,2014,1,Suicide,0,M,72,White,100,Home,Some college,
67382,2014,1,Homicide,0,M,76,White,100,Home,HS/GED,
67383,2014,1,Accidental,0,M,37,White,100,Other specified,HS/GED,
67384,2014,1,Suicide,0,F,53,White,100,Home,HS/GED,
67385,2014,1,Suicide,0,M,84,White,100,Home,Less than HS,
67386,2014,1,Homicide,0,M,65,White,100,Other specified,HS/GED,
67387,2014,1,Suicide,0,M,77,White,100,Home,HS/GED,
67388,2014,1,Suicide,0,M,39,White,100,Home,Some college,
67389,2014,1,Homicide,0,M,42,White,100,Home,HS/GED,
67390,2014,1,Suicide,0,M,40,White,100,Home,HS/GED,
67391,2014,1,Suicide,0,M,76,White,100,Home,Less than HS,
67392,2014,1,Accidental,0,M,60,White,100,Other specified,BA+,
67393,2014,1,Suicide,0,M,33,White,100,Other specified,Less than HS,
67394,2014,1,Accidental,0,M,45,White,100,Home,BA+,
67395,2014,1,Suicide,0,M,44,White,100,Home,Less than HS,
67396,2014,1,Suicide,0,M,52,Hispanic,211,Home,Less than HS,
67397,2014,2,Suicide,0,M,72,White,100,Home,HS/GED,
67398,2014,1,Suicide,0,M,58,White,100,Other specified,BA+,
67399,2014,1,Undetermined,0,F,19,Black,100,Other specified,Less than HS,
67400,2014,2,Suicide,0,F,53,White,100,Home,HS/GED,
67401,2014,2,Suicide,0,M,65,White,100,Home,BA+,
67402,2014,1,Suicide,0,M,31,Black,100,Home,HS/GED,
67403,2014,2,Suicide,0,F,54,White,100,Home,Some college,
67404,2014,2,Homicide,0,M,17,Hispanic,211,Street,Less than HS,
67405,2014,1,Suicide,0,M,54,White,100,Home,Some college,
67406,2014,2,Suicide,0,F,54,White,100,Home,HS/GED,
67407,2014,1,Suicide,0,M,43,White,100,Home,BA+,
67408,2014,2,Suicide,0,F,65,White,100,Home,HS/GED,
67409,2014,1,Homicide,0,M,20,Black,100,Street,Less than HS,
67410,2014,2,Suicide,0,M,23,Black,100,Street,Some college,
67411,2014,1,Homicide,0,M,64,Black,100,Home,HS/GED,
67412,2014,2,Suicide,0,M,53,White,100,Home,HS/GED,
67413,2014,1,Suicide,0,M,40,White,100,Home,HS/GED,
67414,2014,1,Homicide,0,M,20,Black,100,Other specified,HS/GED,
67415,2014,1,Homicide,0,F,32,Black,100,Street,Less than HS,
67416,2014,2,Suicide,0,M,19,White,100,Home,Some college,
67417,2014,2,Suicide,0,M,45,White,100,Other specified,HS/GED,
67418,2014,2,Homicide,0,M,24,Black,100,Street,HS/GED,
67419,2014,2,Suicide,0,F,49,White,100,Other specified,HS/GED,
67420,2014,1,Homicide,0,M,24,Black,100,Street,HS/GED,
67421,2014,2,Suicide,0,F,22,White,100,Home,HS/GED,
67422,2014,1,Suicide,0,M,31,White,100,Street,Less than HS,
67423,2014,1,Suicide,0,M,54,White,100,Trade/service area,Less than HS,
67424,2014,2,Suicide,0,M,30,White,100,Home,BA+,
67425,2014,2,Accidental,0,M,61,White,100,Other specified,BA+,
67426,2014,1,Suicide,0,M,32,White,100,Home,HS/GED,
67427,2014,2,Suicide,0,M,80,White,100,Home,Less than HS,
67428,2014,2,Suicide,0,M,30,White,100,Home,HS/GED,
67429,2014,2,Suicide,0,M,63,White,100,Home,HS/GED,
67430,2014,2,Homicide,0,M,75,White,100,Home,BA+,
67431,2014,2,Homicide,0,M,19,Black,100,Other unspecified,Less than HS,
67432,2014,2,Suicide,0,M,61,White,100,Home,HS/GED,
67433,2014,2,Homicide,0,M,38,Black,100,Home,Less than HS,
67434,2014,2,Homicide,0,M,19,Black,100,School/instiution,HS/GED,
67435,2014,2,Accidental,0,M,64,White,100,Other unspecified,BA+,
67436,2014,1,Suicide,0,M,36,White,100,Other specified,HS/GED,
67437,2014,2,Suicide,0,M,18,White,100,Home,Less than HS,
67438,2014,1,Suicide,0,M,79,White,100,Home,HS/GED,
67439,2014,2,Homicide,0,M,23,Black,100,Trade/service area,HS/GED,
67440,2014,2,Suicide,0,M,39,White,100,Home,HS/GED,
67441,2014,2,Homicide,0,M,22,Black,100,Street,HS/GED,
67442,2014,2,Homicide,0,M,26,Black,100,Home,HS/GED,
67443,2014,2,Suicide,0,M,76,White,100,Home,HS/GED,
67444,2014,1,Suicide,0,M,34,Black,100,Home,HS/GED,
67445,2014,2,Suicide,0,M,74,White,100,Home,HS/GED,
67446,2014,2,Suicide,0,M,28,White,100,Home,HS/GED,
67447,2014,2,Suicide,0,M,57,White,100,Home,HS/GED,
67448,2014,2,Suicide,0,M,65,White,100,Home,HS/GED,
67449,2014,3,Accidental,0,M,21,White,100,Home,Less than HS,
67450,2014,3,Homicide,0,F,32,White,100,Home,Some college,
67451,2014,3,Suicide,0,M,64,White,100,Home,Some college,
67452,2014,2,Suicide,0,M,45,White,100,Home,HS/GED,
67453,2014,2,Suicide,0,M,38,Black,100,Home,HS/GED,
67454,2014,1,Homicide,0,M,29,Black,100,Home,Less than HS,
67455,2014,3,Suicide,0,F,42,White,100,Home,Less than HS,
67456,2014,2,Suicide,0,M,35,White,100,Home,Some college,
67457,2014,3,Suicide,0,M,45,White,100,Home,HS/GED,
67458,2014,3,Suicide,0,F,45,White,100,Home,HS/GED,
67459,2014,3,Suicide,0,M,68,White,100,Home,Some college,
67460,2014,3,Suicide,0,M,41,White,100,Home,HS/GED,
67461,2014,2,Suicide,0,M,57,Black,100,Home,HS/GED,
67462,2014,2,Suicide,0,M,34,White,100,Home,BA+,
67463,2014,3,Suicide,0,M,48,White,100,Home,HS/GED,
67464,2014,3,Homicide,0,M,35,Black,100,Street,Less than HS,
67465,2014,3,Accidental,0,M,46,White,100,Home,Less than HS,
67466,2014,2,Homicide,0,M,28,Black,100,Home,Less than HS,
67467,2014,3,Suicide,0,M,46,White,100,Home,HS/GED,
67468,2014,3,Accidental,0,M,8,Black,100,Home,Less than HS,
67469,2014,2,Suicide,0,F,25,Black,100,Home,Some college,
67470,2014,3,Suicide,0,M,82,White,100,Home,Less than HS,
67471,2014,3,Suicide,0,M,88,White,100,Home,HS/GED,
67472,2014,2,Homicide,0,M,35,Black,100,Home,HS/GED,
67473,2014,2,Suicide,0,M,47,White,100,Home,BA+,
67474,2014,3,Accidental,0,M,35,White,100,Home,HS/GED,
67475,2014,2,Suicide,0,M,84,Black,100,Home,Less than HS,
67476,2014,2,Suicide,0,F,32,Black,100,Home,HS/GED,
67477,2014,3,Suicide,0,F,41,White,100,Home,HS/GED,
67478,2014,3,Suicide,0,F,58,White,100,Home,HS/GED,
67479,2014,3,Homicide,0,F,50,White,100,Home,HS/GED,
67480,2014,1,Homicide,0,M,33,Black,100,Street,HS/GED,
67481,2014,3,Suicide,0,M,58,White,100,Home,BA+,
67482,2014,3,Homicide,0,F,88,White,100,Home,HS/GED,
67483,2014,3,Suicide,0,M,91,White,100,Home,BA+,
67484,2014,2,Suicide,0,M,52,White,100,Home,HS/GED,
67485,2014,2,Homicide,0,M,23,Black,100,Other specified,HS/GED,
67486,2014,3,Suicide,0,M,57,White,100,Home,HS/GED,
67487,2014,2,Suicide,0,M,63,White,100,Other unspecified,HS/GED,
67488,2014,3,Suicide,0,M,41,White,100,Home,HS/GED,
67489,2014,3,Suicide,0,F,46,White,100,Home,Less than HS,
67490,2014,3,Suicide,0,M,69,White,100,Home,BA+,
67491,2014,3,Homicide,0,F,34,White,100,Home,HS/GED,
67492,2014,2,Suicide,0,M,78,White,100,Trade/service area,HS/GED,
67493,2014,2,Homicide,0,M,26,Black,100,Other specified,Less than HS,
67494,2014,3,Homicide,1,M,21,Black,100,NA,HS/GED,
67495,2014,3,Suicide,0,M,31,White,100,Home,BA+,
67496,2014,3,Homicide,0,M,66,White,100,Street,Less than HS,
67497,2014,3,Suicide,0,M,73,White,100,Home,BA+,
67498,2014,3,Suicide,0,F,28,White,100,Home,Some college,
67499,2014,3,Accidental,0,M,21,White,100,Other unspecified,HS/GED,
67500,2014,1,Homicide,0,M,35,Black,100,Trade/service area,HS/GED,
67501,2014,2,Suicide,0,M,23,White,100,Home,Some college,
67502,2014,3,Homicide,0,F,57,White,100,Home,Some college,
67503,2014,3,Suicide,0,F,78,White,100,Home,Less than HS,
67504,2014,3,Suicide,0,F,37,White,100,Home,HS/GED,
67505,2014,2,Accidental,0,F,44,White,100,Home,HS/GED,
67506,2014,3,Homicide,0,M,33,Black,100,Street,Less than HS,
67507,2014,3,Suicide,0,M,48,White,100,Other unspecified,Some college,
67508,2014,3,Homicide,0,M,34,Black,100,Street,Less than HS,
67509,2014,3,Accidental,0,M,68,White,100,Home,HS/GED,
67510,2014,3,Suicide,0,M,41,White,100,Industrial/construction,Some college,
67511,2014,3,Suicide,0,M,68,White,100,Home,Less than HS,
67512,2014,3,Suicide,0,M,61,White,100,Home,Some college,
67513,2014,3,Suicide,0,M,41,White,100,Home,BA+,
67514,2014,3,Suicide,0,M,40,Black,100,Home,HS/GED,
67515,2014,3,Suicide,0,F,58,White,100,Home,Some college,
67516,2014,3,Homicide,0,M,28,White,100,Home,Less than HS,
67517,2014,3,Homicide,0,M,20,Black,100,Street,Some college,
67518,2014,3,Suicide,0,M,40,White,100,Home,HS/GED,
67519,2014,1,Homicide,0,M,40,Black,100,Street,HS/GED,
67520,2014,3,Homicide,0,M,28,Black,100,Other specified,Less than HS,
67521,2014,1,Homicide,0,M,67,White,100,Home,Less than HS,
67522,2014,3,Suicide,0,M,56,White,100,Home,Less than HS,
67523,2014,3,Homicide,0,F,53,White,100,Home,Some college,
67524,2014,4,Homicide,0,M,28,Black,100,Home,HS/GED,
67525,2014,3,Homicide,0,M,73,Black,100,Home,BA+,
67526,2014,3,Suicide,0,M,44,Black,100,Home,HS/GED,
67527,2014,4,Suicide,0,M,46,White,100,School/instiution,BA+,
67528,2014,4,Suicide,0,M,62,White,100,Street,BA+,
67529,2014,4,Suicide,0,M,62,White,100,Home,HS/GED,
67530,2014,4,Homicide,0,M,52,White,100,Home,Some college,
67531,2014,4,Suicide,0,F,67,White,100,Other unspecified,Some college,
67532,2014,3,Suicide,0,F,49,White,100,Street,Some college,
67533,2014,3,Suicide,0,M,51,White,100,Home,BA+,
67534,2014,4,Suicide,0,M,57,White,100,Home,Less than HS,
67535,2014,4,Suicide,0,M,18,White,100,Home,HS/GED,
67536,2014,3,Suicide,0,F,53,White,100,Home,Some college,
67537,2014,3,Suicide,0,M,33,White,100,Home,Some college,
67538,2014,4,Suicide,0,F,55,White,100,Home,Some college,
67539,2014,3,Suicide,0,M,62,White,100,Other specified,BA+,
67540,2014,3,Suicide,0,M,55,White,100,Home,Less than HS,
67541,2014,4,Suicide,0,M,60,White,100,Home,BA+,
67542,2014,4,Homicide,0,M,29,Black,100,Home,HS/GED,
67543,2014,3,Suicide,0,M,80,White,100,Home,Some college,
67544,2014,4,Homicide,0,M,18,White,100,Home,Less than HS,
67545,2014,4,Suicide,0,M,59,White,100,Home,HS/GED,
67546,2014,4,Suicide,0,M,51,White,100,Street,Some college,
67547,2014,4,Suicide,0,M,40,White,100,Other specified,HS/GED,
67548,2014,4,Suicide,0,M,71,White,100,Home,HS/GED,
67549,2014,4,Suicide,0,M,37,White,100,Home,Less than HS,
67550,2014,3,Homicide,0,M,23,Black,100,Street,Less than HS,
67551,2014,3,Suicide,0,M,41,White,100,Other unspecified,BA+,
67552,2014,4,Suicide,0,M,27,Black,100,Home,Less than HS,
67553,2014,3,Homicide,0,M,31,Black,100,Trade/service area,Some college,
67554,2014,4,Homicide,0,M,19,Black,100,Street,Less than HS,
67555,2014,3,Homicide,0,M,31,White,100,Other unspecified,Less than HS,
67556,2014,4,Suicide,0,M,64,White,100,Home,BA+,
67557,2014,4,Homicide,0,M,27,White,100,Home,HS/GED,
67558,2014,4,Suicide,0,M,64,White,100,Home,HS/GED,
67559,2014,3,Suicide,0,M,69,White,100,Home,Some college,
67560,2014,3,Suicide,0,M,38,Black,100,Home,HS/GED,
67561,2014,3,Homicide,0,F,31,Black,100,Street,HS/GED,
67562,2014,4,Suicide,0,M,85,White,100,Home,HS/GED,
67563,2014,3,Homicide,0,F,26,Black,100,Home,Some college,
67564,2014,4,Suicide,0,M,37,White,100,Home,BA+,
67565,2014,4,Suicide,0,M,42,White,100,Home,BA+,
67566,2014,4,Suicide,0,M,48,White,100,Home,Less than HS,
67567,2014,4,Suicide,0,M,76,White,100,Home,Some college,
67568,2014,4,Suicide,0,M,60,Native American/Native Alaskan,100,Other specified,Less than HS,
67569,2014,3,Homicide,0,F,40,White,100,Home,BA+,
67570,2014,4,Homicide,0,M,32,Black,100,Home,Less than HS,
67571,2014,4,Suicide,0,M,60,White,100,Home,Less than HS,
67572,2014,4,Homicide,0,M,66,White,100,Home,HS/GED,
67573,2014,4,Suicide,0,M,52,White,100,Home,Some college,
67574,2014,4,Homicide,0,M,23,Black,100,Home,Less than HS,
67575,2014,4,Suicide,0,M,74,White,100,Home,HS/GED,
67576,2014,4,Homicide,0,M,36,White,100,Other unspecified,HS/GED,
67577,2014,1,Suicide,0,M,21,Black,100,Home,HS/GED,
67578,2014,4,Homicide,0,M,32,Black,100,Street,Some college,
67579,2014,4,Suicide,0,M,34,White,100,Home,Some college,
67580,2014,4,Suicide,0,M,24,Black,100,Home,HS/GED,
67581,2014,4,Suicide,0,M,47,White,100,Home,HS/GED,
67582,2014,4,Suicide,0,M,54,White,100,Street,HS/GED,
67583,2014,4,Suicide,0,M,61,White,100,Other unspecified,HS/GED,
67584,2014,5,Suicide,0,M,43,White,100,Other specified,HS/GED,
67585,2014,4,Suicide,0,M,38,Hispanic,211,Trade/service area,Less than HS,
67586,2014,4,Suicide,0,M,70,Black,100,Other unspecified,Less than HS,
67587,2014,4,Suicide,0,M,61,White,100,Home,HS/GED,
67588,2014,4,Suicide,0,F,25,White,100,Home,HS/GED,
67589,2014,5,Suicide,0,F,21,Black,100,Home,HS/GED,
67590,2014,5,Suicide,0,M,49,White,100,Home,BA+,
67591,2014,2,Suicide,0,M,59,White,100,Home,HS/GED,
67592,2014,5,Suicide,0,F,58,White,100,Home,Some college,
67593,2014,4,Suicide,0,M,25,White,100,Home,Some college,
67594,2014,4,Homicide,0,M,44,White,100,School/instiution,Less than HS,
67595,2014,4,Suicide,0,M,42,White,100,Other specified,HS/GED,
67596,2014,4,Suicide,0,M,21,White,100,Home,HS/GED,
67597,2014,5,Suicide,0,M,24,White,100,Home,HS/GED,
67598,2014,5,Suicide,0,M,62,White,100,Home,Some college,
67599,2014,5,Homicide,0,M,31,Black,100,Street,Some college,
67600,2014,4,Homicide,0,M,67,Black,100,Home,HS/GED,
67601,2014,4,Homicide,0,M,19,Black,100,Home,Some college,
67602,2014,3,Homicide,0,M,23,Black,100,Home,Some college,
67603,2014,4,Homicide,0,M,24,Black,100,Other specified,HS/GED,
67604,2014,4,Homicide,0,M,25,Black,100,Street,Less than HS,
67605,2014,5,Homicide,0,M,36,Black,100,Home,Less than HS,
67606,2014,3,Suicide,0,M,48,White,100,Home,HS/GED,
67607,2014,3,Homicide,0,M,23,Black,100,Home,HS/GED,
